City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
621,Tubmanburg,LR,73.06,light rain,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
629,Marsh Harbour,BS,78.71,clear sky,26.5412,-77.0636,Abaco Beach Resort
636,Isangel,VU,84.31,scattered clouds,-19.55,169.2667,Tanna Lodge
639,Dawei,MM,81.63,overcast clouds,14.0833,98.2,Hotel Dawei
640,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
641,Sertania,BR,73.85,scattered clouds,-8.0736,-37.2644,Hotel Esperança
644,Mbandaka,CD,70.3,overcast clouds,0.0487,18.2603,Guest House Epervier
647,Douentza,ML,80.94,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
652,Meulaboh,ID,75.85,light rain,4.1363,96.1285,Kost Pria
654,Carutapera,BR,78.87,broken clouds,-1.195,-46.02,Lidera
657,Unguia,CO,74.21,overcast clouds,8.0434,-77.0945,Residencias El Golfo
658,Lahaina,US,82.4,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
659,Nueva Loja,EC,72.21,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
660,Wamba,NG,73.58,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
661,Huatulco,MX,77.67,few clouds,15.8436,-96.3267,Fonatur Operadora Portuaría
662,Lekoni,GA,72.01,moderate rain,-1.5843,14.2591,Rendez-vous Des ChasseursD
665,Sainte-Marie,RE,75.42,few clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
671,Vung Tau,VN,82.67,scattered clouds,10.346,107.0843,Seaside Resort
674,Jatai,BR,74.07,scattered clouds,-17.8814,-51.7144,Hotel Califórnia
675,Eyl,SO,75.24,few clouds,7.9803,49.8164,EYL AQUE SYSTEM
681,Nelson Bay,AU,82.09,clear sky,-32.7167,152.15,Mantra Nelson Bay
683,Cap Estate,LC,79.92,clear sky,14.0833,-60.95,Coco Palm Resort
694,Bontang,ID,84.13,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
697,Pak Phanang,TH,82.42,overcast clouds,8.3511,100.202,Green Park Inn Hotel
709,Kokopo,PG,85.87,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
711,Ixtapa,MX,76.23,scattered clouds,20.7,-105.2,hotel la terminal
712,Luangwa,ZM,75.65,light rain,-15.6167,30.4167,Gerasimos Safari Lodge
713,Bac Lieu,VN,82.8,moderate rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
